"Date","Country","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-03-30","Germany","Berlin",2464,104.0,66.0,11
"2020-03-30","Germany","Brandenburg",761,40.0,30.0,2
"2020-03-30","Germany","Bremen",286,11.0,42.0,2
"2020-03-30","Germany","Hamburg",2053,207.0,112.0,5
"2020-03-30","Germany","Hesse",3091,486.0,49.0,13
"2020-03-30","Germany","Mecklenburg-Western Pomerania",356,8.0,22.0,1
"2020-03-30","Germany","Lower Saxony",3732,282.0,47.0,26
"2020-03-30","Germany","North Rhine-Westphalia",12178,778.0,68.0,101
"2020-03-30","Germany","Rhineland-Palatinate",2584,188.0,63.0,18
"2020-03-30","Germany","Saarland",706,146.0,71.0,7
"2020-03-30","Germany","Saxony",1795,178.0,44.0,9
"2020-03-30","Germany","Saxony-Anhalt",592,0.0,27.0,2
"2020-03-30","Germany","Schleswig-Holstein",1049,44.0,36.0,7
"2020-03-30","Germany","Thuringia",719,22.0,34.0,5
"2020-03-31","Germany","Baden-Württemberg",12334,1391.0,111.0,165
"2020-03-31","Germany","Bavaria",14810,821.0,113.0,162
"2020-03-31","Germany","Berlin",2575,111.0,69.0,13
"2020-03-31","Germany","Brandenburg",798,37.0,32.0,2
"2020-03-31","Germany","Bremen",294,8.0,43.0,4
"2020-03-31","Germany","Hamburg",2191,138.0,119.0,9
"2020-03-31","Germany","Hesse",3283,192.0,52.0,17
"2020-03-31","Germany","Mecklenburg-Western Pomerania",366,10.0,23.0,1
"2020-03-31","Germany","Lower Saxony",4063,331.0,51.0,34
"2020-03-31","Germany","North Rhine-Westphalia",13225,1047.0,74.0,117
"2020-03-31","Germany","Rhineland-Palatinate",2726,142.0,67.0,19
"2020-03-31","Germany","Saarland",782,76.0,79.0,7
"2020-03-31","Germany","Saxony",1882,87.0,46.0,12
"2020-03-31","Germany","Saxony-Anhalt",680,88.0,31.0,6
"2020-03-31","Germany","Schleswig-Holstein",1120,71.0,39.0,9
"2020-03-31","Germany","Thuringia",784,65.0,37.0,6
"2020-04-01","Germany","Baden-Württemberg",13410,1076.0,121.0,197
"2020-04-01","Germany","Bavaria",16497,1687.0,126.0,225
"2020-04-01","Germany","Berlin",2754,179.0,73.0,16
"2020-04-01","Germany","Brandenburg",881,83.0,35.0,4
"2020-04-01","Germany","Bremen",311,17.0,46.0,5
"2020-04-01","Germany","Hamburg",2311,120.0,126.0,14
"2020-04-01","Germany","Hesse",3445,162.0,55.0,21
