"Date","Country","Population","New confirmed cases","New deaths","Total confirmed cases","Total deaths"
"2020-01-04","Finland",5518050,0,0,0,0
"2020-01-04","France",66987244,0,0,0,0
"2020-01-04","Georgia",3731000,0,0,0,0
"2020-01-04","Germany",82927922,0,0,0,0
"2020-01-04","Greece",10727668,0,0,0,0
"2020-01-04","Iceland",353574,0,0,0,0
"2020-01-04","India",1352617328,0,0,0,0
"2020-01-04","Indonesia",267663435,0,0,0,0
"2020-01-04","Iran",81800269,0,0,0,0
"2020-01-04","Iraq",38433600,0,0,0,0
"2020-01-04","Ireland",4853506,0,0,0,0
"2020-01-04","Israel",8883800,0,0,0,0
"2020-01-04","Italy",60431283,0,0,0,0
"2020-01-04","Japan",126529100,0,0,0,0
"2020-01-04","Kuwait",4137309,0,0,0,0
"2020-01-04","Lebanon",6848925,0,0,0,0
"2020-01-04","Lithuania",2789533,0,0,0,0
"2020-01-04","Luxembourg",607728,0,0,0,0
"2020-01-04","Malaysia",31528585,0,0,0,0
"2020-01-04","Mexico",126190788,0,0,0,0
"2020-01-04","Monaco",38682,0,0,0,0
"2020-01-04","Nepal",28087871,0,0,0,0
"2020-01-04","Netherlands",17231017,0,0,0,0
"2020-01-04","New Zealand",4885500,0,0,0,0
"2020-01-04","Nigeria",195874740,0,0,0,0
"2020-01-04","North Macedonia",2082958,0,0,0,0
"2020-01-04","Norway",5314336,0,0,0,0
"2020-01-04","Oman",4829483,0,0,0,0
"2020-01-04","Pakistan",212215030,0,0,0,0
"2020-01-04","Philippines",106651922,0,0,0,0
"2020-01-04","Qatar",2781677,0,0,0,0
"2020-01-04","Romania",19473936,0,0,0,0
"2020-01-04","Russia",144478050,0,0,0,0
"2020-01-04","San Marino",33785,0,0,0,0
"2020-01-04","Singapore",5638676,0,0,0,0
"2020-01-04","South Korea",51635256,0,0,0,0
"2020-01-04","Spain",46723749,0,0,0,0
"2020-01-04","Sri Lanka",21670000,0,0,0,0
"2020-01-04","Sweden",10183175,0,0,0,0
"2020-01-04","Switzerland",8516543,0,0,0,0
"2020-01-04","Taiwan",23780452,0,0,0,0
"2020-01-04","Thailand",69428524,0,0,0,0
"2020-01-04","United Arab Emirates",9630959,0,0,0,0
"2020-01-04","United Kingdom",66488991,0,0,0,0
"2020-01-04","United States of America",327167434,0,0,0,0
"2020-01-04","Vietnam",95540395,0,0,0,0
"2020-01-05","Afghanistan",37172386,0,0,0,0
"2020-01-05","Algeria",42228429,0,0,0,0
"2020-01-05","Armenia",2951776,0,0,0,0
"2020-01-05","Australia",24992369,0,0,0,0
"2020-01-05","Austria",8847037,0,0,0,0
"2020-01-05","Azerbaijan",9942334,0,0,0,0
"2020-01-05","Bahrain",1569439,0,0,0,0
"2020-01-05","Belarus",9485386,0,0,0,0
"2020-01-05","Belgium",11422068,0,0,0,0
"2020-01-05","Brazil",209469333,0,0,0,0
"2020-01-05","Cambodia",16249798,0,0,0,0
"2020-01-05","Canada",37058856,0,0,0,0
"2020-01-05","China",1392730000,15,0,59,0
"2020-01-05","Croatia",4089400,0,0,0,0
"2020-01-05","Czechia",0,0,0,0,0
"2020-01-05","Denmark",5797446,0,0,0,0
"2020-01-05","Diamond Princess",3711,0,0,0,0
"2020-01-05","Dominican Republic",10627165,0,0,0,0
"2020-01-05","Ecuador",17084357,0,0,0,0
"2020-01-05","Egypt",98423595,0,0,0,0
"2020-01-05","Estonia",1320884,0,0,0,0
"2020-01-05","Finland",5518050,0,0,0,0
"2020-01-05","France",66987244,0,0,0,0
"2020-01-05","Georgia",3731000,0,0,0,0
"2020-01-05","Germany",82927922,0,0,0,0
"2020-01-05","Greece",10727668,0,0,0,0
"2020-01-05","Iceland",353574,0,0,0,0
"2020-01-05","India",1352617328,0,0,0,0
"2020-01-05","Indonesia",267663435,0,0,0,0
"2020-01-05","Iran",81800269,0,0,0,0
"2020-01-05","Iraq",38433600,0,0,0,0
"2020-01-05","Ireland",4853506,0,0,0,0
"2020-01-05","Israel",8883800,0,0,0,0
"2020-01-05","Italy",60431283,0,0,0,0
"2020-01-05","Japan",126529100,0,0,0,0
"2020-01-05","Kuwait",4137309,0,0,0,0
"2020-01-05","Lebanon",6848925,0,0,0,0
"2020-01-05","Lithuania",2789533,0,0,0,0
"2020-01-05","Luxembourg",607728,0,0,0,0
"2020-01-05","Malaysia",31528585,0,0,0,0
"2020-01-05","Mexico",126190788,0,0,0,0
"2020-01-05","Monaco",38682,0,0,0,0
"2020-01-05","Nepal",28087871,0,0,0,0
"2020-01-05","Netherlands",17231017,0,0,0,0
"2020-01-05","New Zealand",4885500,0,0,0,0
"2020-01-05","Nigeria",195874740,0,0,0,0
"2020-01-05","North Macedonia",2082958,0,0,0,0
"2020-01-05","Norway",5314336,0,0,0,0
"2020-01-05","Oman",4829483,0,0,0,0
"2020-01-05","Pakistan",212215030,0,0,0,0
"2020-01-05","Philippines",106651922,0,0,0,0
"2020-01-05","Qatar",2781677,0,0,0,0
